Intercept,Day of Week Seasonality,Trend,Events,Media,day_dt
1877926.7550633454,700681.7676834032,16532.62424891272,0.0,238896.30774919593,2023-04-09
1877926.7550633454,744151.4194835251,18599.202280026828,0.0,223964.53345664052,2023-04-10
1877926.7550633454,715324.513535218,20665.780311140934,0.0,217272.12055312825,2023-04-11
1877926.7550633454,706435.6426235562,22732.358342255,0.0,212737.29954964702,2023-04-12
1877926.7550633454,690636.9173104338,24798.936373369117,0.0,206547.0861435911,2023-04-13
1877926.7550633454,667697.3358139893,26865.514404483187,0.0,201735.62996896566,2023-04-14
1877926.7550633454,680686.4161540509,28932.092435597286,0.0,214938.35607646196,2023-04-15
1877926.7550633454,700681.7676834032,30998.670466711385,0.0,216465.79841090774,2023-04-16
1877926.7550633454,744151.4194835251,33065.24849782544,0.0,208811.2983753459,2023-04-17
1877926.7550633454,715324.513535218,35131.82652893956,0.0,207601.88707495018,2023-04-18
1877926.7550633454,706435.6426235562,37198.404560053656,0.0,210898.82241711926,2023-04-19
1877926.7550633454,690636.9173104338,39264.98259116774,0.0,212733.80299942198,2023-04-20
1877926.7550633454,667697.3358139893,41331.56062228187,0.0,227547.59214058646,2023-04-21
1877926.7550633454,680686.4161540509,43398.13865339593,0.0,239228.7156322213,2023-04-22
1877926.7550633454,700681.7676834032,45464.71668451,0.0,257793.17913184979,2023-04-23
1877926.7550633454,744151.4194835251,47531.294715624106,0.0,249821.27125404542,2023-04-24
1877926.7550633454,715324.513535218,49597.872746738234,0.0,250708.53298719908,2023-04-25
1877926.7550633454,706435.6426235562,51664.450777852246,0.0,259161.73061403338,2023-04-26
1877926.7550633454,690636.9173104338,53731.02880896637,0.0,260092.12035796573,2023-04-27
1877926.7550633454,667697.3358139893,55797.60684008043,0.0,257892.06607911966,2023-04-28
1877926.7550633454,680686.4161540509,57864.18487119457,0.0,273528.4809491288,2023-04-29
1877926.7550633454,700681.7676834032,59930.762902308656,0.0,280610.3339700137,2023-04-30
1877926.7550633454,744151.4194835251,0.0,0.0,242055.87397151566,2023-05-01
1877926.7550633454,715324.513535218,-390.5466665721428,0.0,229898.75004286374,2023-05-02
1877926.7550633454,706435.6426235562,-781.0933331442856,0.0,226276.19533422435,2023-05-03
1877926.7550633454,690636.9173104338,-1171.6399997164283,0.0,217228.44277702918,2023-05-04
1877926.7550633454,667697.3358139893,-1562.1866662885711,0.0,208075.37627312198,2023-05-05
1877926.7550633454,680686.4161540509,-1952.7333328607144,0.0,196687.23951133207,2023-05-06
1877926.7550633454,700681.7676834032,-2343.2799994328566,0.0,205621.29203809268,2023-05-07
1877926.7550633454,744151.4194835251,-2733.826666005001,0.0,193894.32530794802,2023-05-08
1877926.7550633454,715324.513535218,-3124.3733325771423,0.0,185562.35383021412,2023-05-09
1877926.7550633454,706435.6426235562,-3514.919999149279,0.0,180300.18746324006,2023-05-10
1877926.7550633454,690636.9173104338,-3905.466665721429,0.0,174782.1708174543,2023-05-11
1877926.7550633454,667697.3358139893,-4296.01333229357,0.0,170187.5351203086,2023-05-12
1877926.7550633454,680686.4161540509,-4686.559998865713,0.0,169179.00615842262,2023-05-13
1877926.7550633454,700681.7676834032,-5077.106665437852,0.0,175898.6597853746,2023-05-14
1877926.7550633454,744151.4194835251,-5467.653332010002,0.0,169100.07233692583,2023-05-15
1877926.7550633454,715324.513535218,-5858.199998582141,0.0,167478.1688159853,2023-05-16
1877926.7550633454,706435.6426235562,-6248.7466651542845,0.0,167183.22675504902,2023-05-17
1877926.7550633454,690636.9173104338,-6639.293331726425,0.0,167084.95142898278,2023-05-18
1877926.7550633454,667697.3358139893,-7029.839998298558,0.0,165278.37988657446,2023-05-19
